Algorithm;Dmin;Dmax;Cost;Time;Dimension;Density;File;
SplitsDimByDim;1;3;1077283881;0.020596;9;33.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_0_cos_like.txt
ConvexSplits;1;9;55199723;0.00366945;9;33.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_0_cos_like.txt
OneSideDimByDim;1;9;57970532;6.89e-06;9;33.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_0_cos_like.txt
SplitsDimByDim;1;3;1591740081;0.0209266;9;39.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_1_cos_like.txt
ConvexSplits;1;9;41062871;0.00382364;9;39.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_1_cos_like.txt
OneSideDimByDim;1;9;41063212;5.34e-06;9;39.24;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_1_cos_like.txt
SplitsDimByDim;1;3;1749066702;0.0188189;9;38.08;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_2_cos_like.txt
ConvexSplits;1;9;45280554;0.00372411;9;38.08;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_2_cos_like.txt
OneSideDimByDim;1;9;45280744;5.969e-06;9;38.08;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_2_cos_like.txt
SplitsDimByDim;1;3;1399011869;0.0191067;9;38.2;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_3_cos_like.txt
ConvexSplits;1;9;51811355;0.00393098;9;38.2;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_3_cos_like.txt
OneSideDimByDim;1;9;56309754;6.298e-06;9;38.2;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_3_cos_like.txt
SplitsDimByDim;1;3;633936645;0.0204607;9;30.68;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_4_cos_like.txt
ConvexSplits;1;9;40387257;0.00331124;9;30.68;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_4_cos_like.txt
OneSideDimByDim;1;9;47936292;6.185e-06;9;30.68;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_9_4_cos_like.txt
SplitsDimByDim;1;3;2757499448;0.0222532;10;38.5;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_0_cos_like.txt
ConvexSplits;1;10;74633176;0.00514935;10;38.5;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_0_cos_like.txt
OneSideDimByDim;1;10;75505748;5.07e-06;10;38.5;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_0_cos_like.txt
SplitsDimByDim;1;3;1457411471;0.0205279;10;36.8571;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_4_cos_like.txt
ConvexSplits;1;10;42021054;0.0057888;10;36.8571;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_4_cos_like.txt
OneSideDimByDim;1;10;45533794;5.818e-06;10;36.8571;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_4_cos_like.txt
SplitsDimByDim;1;3;1057483608;0.0237681;10;36.1071;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_3_cos_like.txt
ConvexSplits;1;10;56268886;0.0076041;10;36.1071;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_3_cos_like.txt
OneSideDimByDim;1;10;59234162;7.319e-06;10;36.1071;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_3_cos_like.txt
SplitsDimByDim;1;3;1908318379;0.0214339;10;37.2143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_1_cos_like.txt
ConvexSplits;1;10;45169560;0.00610682;10;37.2143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_1_cos_like.txt
OneSideDimByDim;1;10;45680850;7.603e-06;10;37.2143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_1_cos_like.txt
SplitsDimByDim;1;3;1828971768;0.0206184;10;37.7143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_2_cos_like.txt
ConvexSplits;1;10;46021760;0.00531213;10;37.7143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_2_cos_like.txt
OneSideDimByDim;1;10;54631980;5.613e-06;10;37.7143;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_10_2_cos_like.txt
